loss_db,q_fit,phi0,phi1,rate_from_q_fit,e_x,e_z,p_xx,valid_rate
0.0,0.889321637093076,0.0,3.141592653589793,0.09553281437579822,0.029290538804796002,0.05858107760959231,0.10455351976244012,True
0.12012012012012012,0.8901321271006833,0.0,3.141592653589793,0.09322317239235263,0.029439240634346903,0.058878481006584084,0.10248810862965743,True
0.24024024024024024,0.8909383592485899,0.0,3.141592653589793,0.09099160638713606,0.029578158583176594,0.05915631663863913,0.10045931101148001,True
0.36036036036036034,0.8917400781498833,0.0,3.141592653589793,0.08883468434682985,0.029707637706594917,0.05941527461631386,0.0984668514864602,True
0.4804804804804805,0.8925370284176511,0.0,3.141592653589793,0.08674914164332,0.02982801900049213,0.059656036931324916,0.09651044531622864,True
0.6006006006006006,0.8933289546649813,0.0,3.141592653589793,0.08473187282349852,0.029939639501829853,0.05987927765753103,0.09458979893072254,True
0.7207207207207207,0.894115601504961,0.0,3.141592653589793,0.0827799238343924,0.030042832386289558,0.06008566314623073,0.09270461040201719,True
0.8408408408408409,0.8948967135506782,0.0,3.141592653589793,0.08089048465352257,0.03013792706314902,0.06027585221591482,0.09085456990677884,True
0.960960960960961,0.8956720354152206,0.0,3.141592653589793,0.07906088229714256,0.03022524926745648,0.060450496336614555,0.08903936017737814,True
1.0810810810810811,0.8964413117116755,0.0,3.141592653589793,0.07728857418144787,0.030305121149569965,0.060610239808980886,0.08725865694170912,True
1.2012012012012012,0.8972042870531308,0.0,3.141592653589793,0.07557114181402054,0.030377861362130276,0.06075571993822843,0.08551212935177299,True
1.3213213213213213,0.8979607060526739,0.0,3.141592653589793,0.07390628479472719,0.03044378514452992,0.060887567203077836,0.08379944040109731,True
1.4414414414414414,0.8987103133233926,0.0,3.141592653589793,0.07229181510701571,0.030503204404950343,0.06100640541982342,0.082120247331068,True
1.5615615615615615,0.8994528534783746,0.0,3.141592653589793,0.0707256516821429,0.030556427800019874,0.06111285190165614,0.08047420202626561,True
1.6816816816816818,0.9001880711307073,0.0,3.141592653589793,0.06920581522024744,0.030603760812166297,0.06120751761336427,0.07886095139890152,True
1.8018018018018018,0.9009157108934784,0.0,3.141592653589793,0.06773042325347102,0.030645505824716552,0.06129100732153418,0.07728013776245951,True
1.921921921921922,0.901635517379776,0.0,3.141592653589793,0.06629768543746314,0.030681962194807913,0.06136391974037226,0.07573139919465645,True
2.042042042042042,0.9023472352026871,0.0,3.141592653589793,0.06490589905864837,0.03071342632416788,0.06142684767326492,0.07421436988984254,True
2.1621621621621623,0.9030506089752995,0.0,3.141592653589793,0.0635534447455714,0.030740191727819024,0.06148037815018986,0.07272868050096475,True
2.2822822822822824,0.9037453833107012,0.0,3.141592653589793,0.06223878237348589,0.030762549100769247,0.06152509256109328,0.07127395847122754,True
2.4024024024024024,0.9044313028219793,0.0,3.141592653589793,0.06096044715213759,0.03078078638273711,0.061561566785342824,0.0698498283555887,True
2.5225225225225225,0.9051081121222216,0.0,3.141592653589793,0.05971704588738985,0.030795188820968607,0.0615903713173616,0.06845591213222844,True
2.6426426426426426,0.9057755558245161,0.0,3.141592653589793,0.05850725340799022,0.03080603903120027,0.06161207138855228,0.06709182950414318,True
2.7627627627627627,0.9064333785419499,0.0,3.141592653589793,0.05732980914936892,0.030813617056815342,0.06162722708561125,0.06575719819101085,True
2.8828828828828827,0.9070813248876111,0.0,3.141592653589793,0.056183513886895305,0.030818200426247222,0.061636393465334366,0.06445163421148221,True
3.003003003003003,0.907719139474587,0.0,3.141592653589793,0.055067226611519145,0.03082006420867693,0.061640120666013785,0.06317475215605603,True
3.123123123123123,0.9083465669159654,0.0,3.141592653589793,0.05397986154117463,0.030819481068075968,0.06163895401552007,0.06192616545069708,True
3.2432432432432434,0.9089633518248339,0.0,3.141592653589793,0.05292038526174911,0.030816721315635655,0.06163343413616514,0.06070548661135828,True
3.3633633633633635,0.9095692388142801,0.0,3.141592653589793,0.05188781399179801,0.030812052960636035,0.06162409704643693,0.05951232748957304,True
3.4834834834834836,0.9101639724973917,0.0,3.141592653589793,0.05088121096554909,0.030805741759792817,0.06161147425969508,0.05834629950928112,True
3.6036036036036037,0.9107472974872562,0.0,3.141592653589793,0.049899683929063,0.030798051265130792,0.0615960928799161,0.05720701389505734,True
3.7237237237237237,0.9113189583969614,0.0,3.141592653589793,0.04894238274472587,0.030789242870422097,0.06157847569457224,0.05609408189190974,True
3.843843843843844,0.9118786998395948,0.0,3.141592653589793,0.04800849709952492,0.030779575856235853,0.06155914126472791,0.05500711497681774,True
3.963963963963964,0.9124262664282442,0.0,3.141592653589793,0.047097254312825694,0.030769307433634232,0.061538604012434696,0.05394572506217875,True
4.084084084084084,0.9129614027759971,0.0,3.141592653589793,0.04620791723960456,0.030758692786560526,0.06151737430550518,0.05290952469133477,True
4.2042042042042045,0.9134838534959411,0.0,3.141592653589793,0.04533978226532119,0.030747985112952413,0.0614959585397411,0.05189812722634769,True
4.324324324324325,0.9139933632011641,0.0,3.141592653589793,0.04449217738881913,0.030737435664622125,0.06147485921869252,0.050911147028193784,True
4.444444444444445,0.9144896765047533,0.0,3.141592653589793,0.043664460389842064,0.030727293785938237,0.06145457503102255,0.04994819962954916,True
4.564564564564565,0.9149725380197967,0.0,3.141592653589793,0.0428560170779281,0.030717806951346065,0.06143560092554667,0.049008901900331046,True
4.684684684684685,0.9154416923593819,0.0,3.141592653589793,0.042066259619622064,0.030709220801759925,0.06141842818401919,0.04809287220616877,True
4.804804804804805,0.9158968841365963,0.0,3.141592653589793,0.04129462494109249,0.030701779179864604,0.06140354449173409,0.047199730559968324,True
4.924924924924925,0.9163378579645276,0.0,3.141592653589793,0.04054057320339658,0.030695724164355048,0.06139143400600613,0.046329098766738616,True
5.045045045045045,0.9167643584562636,0.0,3.141592653589793,0.03980358634776656,0.03069129610315076,0.06138257742259786,0.04548060056184538,True
5.165165165165165,0.917176130224892,0.0,3.141592653589793,0.03908316670842391,0.030688733645612285,0.06137745204015601,0.04465386174285659,True
5.285285285285285,0.9175729178835001,0.0,3.141592653589793,0.038378835690542186,0.030688273773796303,0.06137653182271756,0.04384851029514259,True
5.405405405405405,0.9179544660451757,0.0,3.141592653589793,0.037690132511096944,0.030690151832773047,0.06138028746034636,0.043064176511391446,True
5.525525525525525,0.9183205193230065,0.0,3.141592653589793,0.03701661300044188,0.03069460156003851,0.06138918642795804,0.04230049310520061,True
5.645645645645645,0.9186708223300801,0.0,3.141592653589793,0.03635784846254757,0.03070185511405023,0.06140369304239181,0.041557095318901775,True
5.7657657657657655,0.9190051196794841,0.0,3.141592653589793,0.03571342459193308,0.030712143101913572,0.061424268517782044,0.040833621025776146,True
5.885885885885886,0.919323155984306,0.0,3.141592653589793,0.035082940445403235,0.030725694606245958,0.06145137101928519,0.040129710826812784,True
6.006006006006006,0.9196246908162294,0.0,3.141592653589793,0.03446600746686394,0.030742731372250184,0.061485444037231635,0.03944500095187644,True
6.126126126126126,0.9199160763514372,0.0,3.141592653589793,0.033862249405543415,0.030760890226540695,0.06152176122466664,0.03877600324086714,True
6.246246246246246,0.9202027147814952,0.0,3.141592653589793,0.0332713045076464,0.030778140767630108,0.06155626177843435,0.03811984080933606,True
6.366366366366366,0.9204846538392466,0.0,3.141592653589793,0.03269282413139506,0.030794532677258055,0.06158904506191352,0.03747624970728246,True
6.486486486486487,0.9207619412575353,0.0,3.141592653589793,0.03212647177415752,0.030810113896621933,0.06162020695739483,0.03684497115704241,True
6.606606606606607,0.9210346247692052,0.0,3.141592653589793,0.031571922560162516,0.030824930669645183,0.06164983995262299,0.03622575147292896,True
6.726726726726727,0.9213027521070998,0.0,3.141592653589793,0.03102886275266364,0.030839027585058413,0.06167803322495232,0.035618341981097104,True
6.846846846846847,0.9215663710040628,0.0,3.141592653589793,0.030496989289305394,0.030852447617320148,0.061704872723194214,0.03502249893969299,True
6.966966966966967,0.9218255291929379,0.0,3.141592653589793,0.02997600933950338,0.03086523216642649,0.061730441247231926,0.03443798345934553,True
7.087087087087087,0.9220802744065689,0.0,3.141592653589793,0.029465639882721252,0.03087742109663641,0.0617548185254743,0.0338645614240524,True
7.207207207207207,0.9223306543777993,0.0,3.141592653589793,0.028965607306580633,0.030889052774154355,0.06177808129021947,0.03330200341250991,True
7.327327327327327,0.9225767168394728,0.0,3.141592653589793,0.02847564702380105,0.03090016410379987,0.061800303350992986,0.032750084619932035,True
7.4474474474474475,0.9228185095244336,0.0,3.141592653589793,0.027995503107019582,0.030910790564695548,0.061821555665926585,0.032208584780401846,True
7.5675675675675675,0.9230560801655247,0.0,3.141592653589793,0.027524927940586613,0.030920966245008768,0.06184190641123908,0.031677288089793865,True
7.687687687687688,0.9232894764955902,0.0,3.141592653589793,0.027063681888487245,0.030930723875770786,0.06186142104887616,0.031155983129303177,True
7.807807807807808,0.9235187462474737,0.0,3.141592653589793,0.026611532977578168,0.03094009486380733,0.061880162392370895,0.030644462789616616,True
7.927927927927928,0.9237439371540189,0.0,3.141592653589793,0.026168256595374296,0.030949109323804406,0.06189819067097442,0.030142524195754247,True
8.048048048048049,0.9239650969480693,0.0,3.141592653589793,0.025733635201659517,0.03095779610953739,0.061915563592115246,0.02964996863261189,True
8.168168168168169,0.9241822733624688,0.0,3.141592653589793,0.02530745805323321,0.0309661828442871,0.06193233640223215,0.029166601471228022,True
8.288288288288289,0.9243955141300613,0.0,3.141592653589793,0.024889520941139446,0.030974295950471825,0.06194856194603602,0.02869223209580107,True
8.408408408408409,0.92460486698369,0.0,3.141592653589793,0.02447962593976194,0.030982160678513167,0.0619642907242429,0.028226673831476794,True
8.528528528528529,0.924810379656199,0.0,3.141592653589793,0.024077581167197076,0.03098980113496146,0.06197957094982537,0.027769743872925176,True
8.64864864864865,0.9250120998804319,0.0,3.141592653589793,0.023683200556349187,0.030997240309904403,0.06199444860282761,0.027321263213725366,True
8.76876876876877,0.9252100753892322,0.0,3.141592653589793,0.023296303636221292,0.031004500103675347,0.06200896748378409,0.02688105657657299,True
8.88888888888889,0.9254043539154437,0.0,3.141592653589793,0.022916715322900467,0.031011601352885453,0.06202316926578398,0.026448952344324306,True
9.00900900900901,0.9255949831919102,0.0,3.141592653589793,0.022544265719762816,0.03101856385580033,0.06203709354522057,0.02602478249188936,True
